,Year,Duration_Minutes,Themes,Genres,Title,English,Rating,Source,Synopsis,Episodes,Premiered
396,2006.0,24.0,Adult Cast  Organized Crime,Action,Black Lagoon  The Second Barrage,Black Lagoon The Second Barrage,r      violence   profanity,Manga,rokurou  rock  okajima has joined the lagoon company  a pirate mercenary group which operates out of roanapur  thailand  despite his initial protests  this filthy slum of depraved souls and merciless criminals now serves as the former salaryman s home  stranded  with nothing left of his past life but the clothes on his back and his inner morality  rock is forced to perform jobs alongside the other members of the lagoon crew  berated for his lack of spine as he wades through the underbelly of society  he must decide whether to continue on amidst the gunfire and ruthlessness or risk everything he has in an attempt to be free  whether he chooses the comfort of a familiar land or the freedom of being an outlaw  his decision will have lasting consequences on the crew who gave him a home     written by mal rewrite,12.0,Fall 2006
149,2006.0,24.0,Adult Cast  Organized Crime,Action,Black Lagoon,Black Lagoon,r      violence   profanity,Manga,salaryman rokurou okajima spends his days trying to climb his company s corporate ladder  until one day when a business negotiation in thailand goes awry  during the botched deal  he falls hostage to the lagoon company a band of ruthless pirate mercenaries  left to the whims of his captors after his managers refuse to pay his ransom  rokurou does the unthinkable  instead of begging for his life  he joins the very crew who kidnapped him    now a member of the group  rokurou must adjust to his new residence in the dissolute hellscape known as roanapur  a city where corruption and crime run rampant  and even the smallest slipup could cost him his life  if not for one of the many crime syndicates on the island  rokurou also constantly finds himself at odds with his brash  gunslinging colleague  revy     as rokurou struggles to abandon his past and with more than just the profits from the lagoon company s illegal trading on the line he must quickly find the resolve to make tough decisions in high stress situations while keeping his humanity intact     written by mal rewrite,12.0,Spring 2006
892,2022.0,24.0,CGDCT,Action,Lycoris Recoil,Lycoris Recoil,pg    teens  or older,Original,the number of terrorist acts in japan has never been lower  thanks to the efforts of a syndicate called direct attack  da   the organization raises orphaned girls as killers to carry out assassinations under their  lycoris  program  takina inoue is an exceptional lycoris with a strong sense of purpose and a penchant for perfection  unfortunately  a hostage situation tests her patience  and the resulting act of insubordination leads to her transfer out of da  not thrilled about losing the only place she belonged to  she reluctantly arrives at her new base of operations lycoreco  a cafe in disguise    takina s new partner  however  turns out to be quite different from what she imagined  despite being the famed lycoris prodigy  chisato nishikigi appears almost unconcerned with her duties  she drags takina along on all kinds of odd jobs under the simple explanation of helping people in need  takina is even more puzzled when chisato takes down a group of armed assailants without killing any of them  feeling like a fish out of water  takina itches to get reinstated into da but chisato is determined to prove to her that there is more to a life than just taking them     written by mal rewrite,13.0,Summer 2022
757,2017.0,24.0,Gore  Survival,Action,Juuni Taisen,Juni Taisen Zodiac War,r      violence   profanity,Novel,every   years  mercenaries who possess the highest caliber of brute strength  cunning wit  and deadly precision gather to participate in the zodiac tournament  each warrior bears the name and attributes of one of the   animals of the chinese zodiac  with their pride and lives on the line  they engage in vicious combat until only the victor remains    the  th zodiac tournament begins in a desolate city  devoid of any evidence of the half million people who recently lived there  to raise the stakes  each warrior ingests a poisonous gem  thus setting a time limit on the tournament and on their life  with one wish for the victor up for grabs  the zodiac warriors start their cutthroat battle for survival     written by mal rewrite,12.0,Fall 2017
6007,2004.0,24.0,Historical,Action,Samurai Gun,Unknown,r      violence   profanity,Manga,it is the beginning of the industrial revolution  and feudal japan is in turmoil  the ruling shogun are wielding their abusive powers to instill fear and dominance over their oppressed subjects  beatings  imprisonment  rape and even murder are the adopted tactics chosen to maintain their reign  the bloodshed must end  a group of samurai have banded together  and  with the development of new weapons and new technology  they have both the will and the hardware to stand up and fight  ichimatsu is one of these fighters  by day  he works incognito at a local tavern  in the evenings he frequents the brothels  and by the dark of night  he doles out some big time  gun barrel justice  he is here to help  he is samurai gun      source  ann,12.0,Fall 2004
5414,2006.0,27.0,Historical  Martial Arts,Action,Souten no Ken,Fist of the Blue Sky,r      violence   profanity,Manga,a mysterious man known as  the king of death  roams the streets of pre war shanghai in this action packed prequel to fist of the north star    shanghai in the  s is a dangerous place  foreign governments and chinese factions have carved the city into different quarters  each with its own laws and government  and all rife with corruption  as the major powers vie for political control  the streets are left to local gangs  life is cheap  and death is always near    in days past  one man walked these mean streets battling the forces of evil  he was known only as yan wang   the king of death   few knew who he really was  but many knew that he was a master of hokuto shinken   fist of the north star   a lethal martial art  he disappeared years ago after dispatching the city s worst gangsters  and is now rumored to be in japan  various people have come to japan in search of him  but who will find him first,22.0,Fall 2006
6348,2013.0,24.0,Historical  Martial Arts  Samurai,Action,Gifuu Doudou    Kanetsugu to Keiji,Unknown,r      violence   profanity,Manga,the sengoku era gave birth to many historical legends  one of them is naoe kanetsugu  the brilliant military general of the uesugi family  together with maeda keiji  a legendary warrior on the battlefield  who become lifelong friends with each other  they carve out a piece of history in the most dangerous and volatile time in japan s history  the two men recall their beginnings and the journey they took to get to the accomplished position they now sit at,25.0,Summer 2013
4035,2004.0,23.0,Historical  Martial Arts  Samurai,Action,Mutsu Enmei Ryuu Gaiden  Shura no Toki,Time of Shura,pg    teens  or older,Manga,legends tell of an invincible martial art known as mutsu enmei ryu  an unarmed style that allows the user to defeat any number of armed opponents using incredible speed and strength  this is the story of three generations of those who bear the name mutsu  and their encounters and battles with the strongest fighters of their era     source  ann,26.0,Spring 2004
3746,2014.0,24.0,Historical  Martial Arts  Samurai  Super Power,Action,Sengoku Basara  Judge End,Sengoku BASARA End of Judgement,pg    teens  or older,Game,based on capcom s   game sengoku basara    sengoku basara  samurai heroes   sengoku basara  judge end will depict the epic battle of sekigahara     source  ann,12.0,Summer 2014
2312,2010.0,24.0,Historical  Martial Arts  Samurai  Super Power,Action,Sengoku Basara Ni,Sengoku Basara Samurai Kings 2,pg    teens  or older,Game,the deadly confrontation with the devil king  oda nobunaga is over  but the struggle for supremacy continues in warring countries era japan  as the armies of takeda shingen and uesugi kenshin repeatedly engage battle at kawanakajima    meanwhile  on the easternmost side of the battlefield  two outstanding characters bound by destiny one clad in azure and the other in crimson are about to clash in a long awaited  decisive duel    then a sudden dispatch informs that a huge army has surrounded the forces of takeda  uesugi and date at kakanakajima  their leader is toyotomi hideyoshi  the man who inherited nobunaga s dreams and ambitions  and who is now going to bring havoc over japan once again     source  production i g,12.0,Summer 2010
1294,2009.0,23.0,Historical  Martial Arts  Samurai  Super Power,Action,Sengoku Basara,Sengoku Basara Samurai Kings,pg    teens  or older,Game,in the sengoku period  the struggle for power and unification has brought endless bloodshed to the unstable japan  out of all the warring generals  nobunaga oda the  demon king of owari  has established himself as the strongest ruler  friend or foe  he is determined to crush anyone who stands in his way of creating a tyrannical central government     the only two who dare rebel against oda are the  one eyed dragon of oshu  masamune date  and the distinguished but hot blooded warrior of the takeda clan  yukimura sanada  though they share the goal of preventing oda from unifying the domains  masamune and yukimura cannot see eye to eye  equally skilled in combat  mutual admiration for one another causes these two feuding warriors to forge a fierce rivalry  thwarting any attempts to form a united front against the demon king of owari     with oda s forces closing in on their respective territories  masamune and yukimura reluctantly learn to put aside their differences and fight together against the threatening usurpator     written by mal rewrite,12.0,Spring 2009
